,latitude,longitude,floor,rooms,sq,year,price
count,23525.0,23525.0,23525.0,23525.0,23525.0,23525.0,23525.0
mean,51.37023343702444,19.852109171397576,2.7893730074388947,2.602635494155154,101.98278597236984,2000.566588735388,612073.9776131776
std,1.1013066270493117,1.450554591500065,2.4435937577281917,0.976283911286185,6566.78759859316,48.41134083268699,336955.73308220704
min,49.9330556,4.2047959,0.0,1.0,8.8,70.0,5000.0
25%,50.0660367,19.91656311814478,1.0,2.0,42.0,1985.0,410000.0
50%,52.1939874,19.9993305,2.0,3.0,53.5,2019.0,519600.0
75%,52.270489,20.9927957,4.0,3.0,68.06,2021.0,695000.0
max,54.4352384,30.319402697629485,10.0,10.0,1007185.0,2980.0,2720403.0
